// <Skill id>,<Cast>,<Delay (optional)>
//
// Cast:  0 - everything affects the skill's cast time
//        1 - skill's cast time is not affected by dex
//        2 - skill's cast time is not affected by statuses (Suffragium, etc)
//        4 - skill's cast time is not affected by item bonuses (equip, cards)
//
// Delay: 0 - everything affects the skill's delay
//        1 - skill's delay is not affected by dex
//        2 - skill's delay is not affected by Magic Strings / Bragi
//        4 - skill's delay is not affected by item bonuses (equip, cards)
//
// Note: Values are bit fields, add them up to combine their effects.
// Note: Delay setting '1' only makes sense when delay_dependon_dex is enabled.
// Example: 46,1,1 = Double Strafe's cast time and delay is not affected by dex.

1,0,7	 	 //Basic Skill
2,0,7	 	 //Sword Mastery
3,0,7	 	 //Two-Handed Sword Mastery
4,0,7	 	 //Increase HP Recovery
5,0,7	 	 //Bash
6,0,7	 	 //Provoke
7,0,7	 	 //Magnum Break
8,0,7	 	 //Endure
9,0,7	 	 //Increase SP Recovery
10,0,7	 	 //Sight
11,0,7	 	 //Napalm Beat
12,0,7	 	 //Safety Wall
13,0,7	 	 //Soul Strike
14,0,7	 	 //Cold Bolt
15,0,7	 	 //Frost Diver
16,0,7	 	 //Stone Curse
17,0,7	 	 //Fire Ball
18,0,7	 	 //Fire Wall
19,0,7	 	 //Fire Bolt
20,0,7	 	 //Lightning Bolt
21,0,7	 	 //Thunderstorm
22,0,7	 	 //Divine Protection
23,0,7	 	 //Demon Bane
24,0,7	 	 //Ruwach
25,0,7	 	 //Pneuma
26,0,7	 	 //Teleport
27,0,7	 	 //Warp Portal
28,0,7	 	 //Heal
29,0,7	 	 //Increase AGI
30,0,7	 	 //Decrease AGI
31,0,7	 	 //Aqua Benedicta
32,0,7	 	 //Signum Crucis
33,0,7	 	 //Angelus
34,0,7	 	 //Blessing
35,0,7	 	 //Cure
36,0,7	 	 //Enlarge Weight Limit
37,0,7	 	 //Discount
38,0,7	 	 //Overcharge
39,0,7	 	 //Pushcart
40,0,7	 	 //Item Appraisal
41,0,7	 	 //Vending
42,0,7	 	 //Mammonite
43,0,7	 	 //Owl's Eye
44,0,7	 	 //Vulture's Eye
45,0,7	 	 //Improve Concentration
46,0,7	 	 //Double Strafe
47,0,7	 	 //Arrow Shower
48,0,7	 	 //Double Attack
49,0,7	 	 //Improve Dodge
50,0,7	 	 //Steal
51,0,7	 	 //Hiding
52,0,7	 	 //Envenom
53,0,7	 	 //Detoxify
54,0,7	 	 //Resurrection
55,0,7	 	 //Spear Mastery
56,0,7	 	 //Pierce
57,0,7	 	 //Brandish Spear
58,0,7	 	 //Spear Stab
59,0,7	 	 //Spear Boomerang
60,0,7	 	 //Twohand Quicken
61,0,7	 	 //Counter Attack
62,0,7	 	 //Bowling Bash
63,0,7	 	 //Peco Peco Riding
64,0,7	 	 //Cavalier Mastery
65,0,7	 	 //Mace Mastery
66,0,7	 	 //Impositio Manus
67,0,7	 	 //Suffragium
68,0,7	 	 //Aspersio
69,0,7	 	 //B.S. Sacramenti
70,0,7	 	 //Sanctuary
71,0,7	 	 //Slow Poison
72,0,7	 	 //Status Recovery
73,0,7	 	 //Kyrie Eleison
74,0,7	 	 //Magnificat
75,0,7	 	 //Gloria
76,0,7	 	 //Lex Divina
77,0,7	 	 //Turn Undead
78,0,7	 	 //Lex Aeterna
79,0,7	 	 //Magnus Exorcismus
80,0,7	 	 //Fire Pillar
81,0,7	 	 //Sightrasher
83,0,7	 	 //Meteor Storm
84,0,7	 	 //Jupitel Thunder
85,0,7	 	 //Lord of Vermilion
86,0,7	 	 //Water Ball
87,0,7	 	 //Ice Wall
88,0,7	 	 //Frost Nova
89,0,7	 	 //Storm Gust
90,0,7	 	 //Earth Spike
91,0,7	 	 //Heaven's Drive
92,0,7	 	 //Quagmire
93,0,7	 	 //Sense
94,0,7	 	 //Iron Tempering
95,0,7	 	 //Steel Tempering
96,0,7	 	 //Enchanted Stone Craft
97,0,7	 	 //Oridecon Research
98,0,7	 	 //Smith Dagger
99,0,7	 	 //Smith Sword
100,0,7	 	 //Smith Two-handed Sword
101,0,7	 	 //Smith Axe
102,0,7	 	 //Smith Mace
103,0,7	 	 //Smith Knucklebrace
104,0,7	 	 //Smith Spear
105,0,7	 	 //Hilt Binding
106,0,7	 	 //Ore Discovery
107,0,7	 	 //Weaponry Research
108,0,7	 	 //Weapon Repair
109,0,7	 	 //Skin Tempering
110,0,7	 	 //Hammer Fall
111,0,7	 	 //Adrenaline Rush
112,0,7	 	 //Weapon Perfection
113,0,7	 	 //Power-Thrust
114,0,7	 	 //Maximize Power
115,0,7	 	 //Skid Trap
116,0,7	 	 //Land Mine
117,0,7	 	 //Ankle Snare
118,0,7	 	 //Shockwave Trap
119,0,7	 	 //Sandman
120,0,7	 	 //Flasher
121,0,7	 	 //Freezing Trap
122,0,7	 	 //Blast Mine
123,0,7	 	 //Claymore Trap
124,0,7	 	 //Remove Trap
125,0,7	 	 //Talkie Box
126,0,7	 	 //Beast Bane
127,0,7	 	 //Falconry Mastery
128,0,7	 	 //Steel Crow
129,0,7	 	 //Blitz Beat
130,0,7	 	 //Detect
131,0,7	 	 //Spring Trap
132,0,7	 	 //Righthand Mastery
133,0,7	 	 //Lefthand Mastery
134,0,7	 	 //Katar Mastery
135,0,7	 	 //Cloaking
136,0,7	 	 //Sonic Blow
137,0,7	 	 //Grimtooth
138,0,7	 	 //Enchant Poison
139,0,7	 	 //Poison React
140,0,7	 	 //Venom Dust
141,0,7	 	 //Venom Splasher
142,0,7	 	 //First Aid
143,0,7	 	 //Play Dead
144,0,7	 	 //Moving HP-Recovery
145,0,7	 	 //Fatal Blow
146,0,7	 	 //Auto Berserk
147,0,7	 	 //Arrow Crafting
148,0,7	 	 //Arrow Repel
149,0,7	 	 //Sand Attack
150,0,7	 	 //Back Slide
151,0,7	 	 //Find Stone
152,0,7	 	 //Stone Fling
153,0,7	 	 //Cart Revolution
154,0,7	 	 //Change Cart
155,0,7	 	 //Crazy Uproar
157,0,7	 	 //Energy Coat
158,0,7	 	 //Piercing Attack
159,0,7	 	 //Spirit Destruction
160,0,7	 	 //Stand off attack
161,0,7	 	 //Attribute Change
162,0,7	 	 //Water Attribute Change
163,0,7	 	 //Earth Attribute Change
164,0,7	 	 //Fire Attribute Change
165,0,7	 	 //Wind Attribute Change
166,0,7	 	 //Poison Attribute Change
167,0,7	 	 //Holy Attribute Change
168,0,7	 	 //Shadow Attribute Change
169,0,7	 	 //Ghost Attribute Change
170,0,7	 	 //Defense disregard attack
171,0,7	 	 //Multi-stage Attack
172,0,7	 	 //Guided Attack
173,0,7	 	 //Suicide bombing
174,0,7	 	 //Splash attack
175,0,7	 	 //Suicide
176,0,7	 	 //Poison Attack
177,0,7	 	 //Blind Attack
178,0,7	 	 //Silence Attack
179,0,7	 	 //Stun Attack
180,0,7	 	 //Petrify Attack
181,0,7	 	 //Curse Attack
182,0,7	 	 //Sleep attack
183,0,7	 	 //Random Attack
184,0,7	 	 //Water Attribute Attack
185,0,7	 	 //Earth Attribute Attack
186,0,7	 	 //Fire Attribute Attack
187,0,7	 	 //Wind Attribute Attack
188,0,7	 	 //Poison Attribute Attack
189,0,7	 	 //Holy Attribute Attack
190,0,7	 	 //Shadow Attribute Attack
191,0,7	 	 //Ghost Attribute Attack
192,0,7	 	 //Demon Shock Attack
193,0,7	 	 //Metamorphosis
194,0,7	 	 //Provocation
195,0,7	 	 //Smoking
196,0,7	 	 //Follower Summons
197,0,7	 	 //Emotion
198,0,7	 	 //Transformation
199,0,7	 	 //Sucking Blood
200,0,7	 	 //Energy Drain
201,0,7	 	 //Keeping
202,0,7	 	 //Dark Breath
203,0,7	 	 //Dark Blessing
204,0,7	 	 //Barrier
205,0,7	 	 //Defender
206,0,7	 	 //Lick
207,0,7	 	 //Hallucination
208,0,7	 	 //Rebirth
209,0,7	 	 //Monster Summons
210,0,7	 	 //Gank
211,0,7	 	 //Mug
212,0,7	 	 //Back Stab
213,0,7	 	 //Stalk
214,0,7	 	 //Sightless Mind
215,0,7	 	 //Divest Weapon
216,0,7	 	 //Divest Shield
217,0,7	 	 //Divest Armor
218,0,7	 	 //Divest Helm
219,0,7	 	 //Snatch
220,0,7	 	 //Scribble
221,0,7	 	 //Piece
222,0,7	 	 //Remover
223,0,7	 	 //Slyness
224,0,7	 	 //Haggle
225,0,7	 	 //Intimidate
226,0,7	 	 //Axe Mastery
227,0,7	 	 //Potion Research
228,0,7	 	 //Prepare Potion
229,0,7	 	 //Bomb
230,0,7	 	 //Acid Terror
231,0,7	 	 //Aid Potion
232,0,7	 	 //Summon Flora
